"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","EDUADULT","UPPSRY","PC_25_64","A","2021",38.624783,
"LUX","EDUADULT","UPPSRY","PC_25_64","A","2017",36.372005,
"LUX","EDUADULT","UPPSRY","PC_25_64","A","2018",33.34832,
"LUX","EDUADULT","UPPSRY","PC_25_64","A","2019",23.502417,
"LUX","EDUADULT","UPPSRY","PC_25_64","A","2020",22.837704,
"LUX","EDUADULT","UPPSRY","PC_25_64","A","2021",29.996883,
"MEX","EDUADULT","UPPSRY","PC_25_64","A","2017",20.242617,
"MEX","EDUADULT","UPPSRY","PC_25_64","A","2018",21.166498,
"MEX","EDUADULT","UPPSRY","PC_25_64","A","2019",21.528631,
"MEX","EDUADULT","UPPSRY","PC_25_64","A","2020",22.163275,
"MEX","EDUADULT","UPPSRY","PC_25_64","A","2021",22.354233,
"NLD","EDUADULT","UPPSRY","PC_25_64","A","2017",41.213829,
"NLD","EDUADULT","UPPSRY","PC_25_64","A","2018",40.67931,
"NLD","EDUADULT","UPPSRY","PC_25_64","A","2019",39.174091,
"NLD","EDUADULT","UPPSRY","PC_25_64","A","2020",38.378426,
"NLD","EDUADULT","UPPSRY","PC_25_64","A","2021",37.502918,
"NZL","EDUADULT","UPPSRY","PC_25_64","A","2017",41.151012,
"NZL","EDUADULT","UPPSRY","PC_25_64","A","2018",41.164528,
"NZL","EDUADULT","UPPSRY","PC_25_64","A","2019",41.631645,
"NZL","EDUADULT","UPPSRY","PC_25_64","A","2020",40.81171,
"NZL","EDUADULT","UPPSRY","PC_25_64","A","2021",40.077881,
"NOR","EDUADULT","UPPSRY","PC_25_64","A","2017",38.762424,
"NOR","EDUADULT","UPPSRY","PC_25_64","A","2018",38.901794,
"NOR","EDUADULT","UPPSRY","PC_25_64","A","2019",38.390388,
"NOR","EDUADULT","UPPSRY","PC_25_64","A","2020",37.20805,
"NOR","EDUADULT","UPPSRY","PC_25_64","A","2021",35.207466,
"POL","EDUADULT","UPPSRY","PC_25_64","A","2017",62.191849,
"POL","EDUADULT","UPPSRY","PC_25_64","A","2018",61.52821,
"POL","EDUADULT","UPPSRY","PC_25_64","A","2019",60.61755,
"POL","EDUADULT","UPPSRY","PC_25_64","A","2020",60.369686,
"POL","EDUADULT","UPPSRY","PC_25_64","A","2021",59.973305,
"PRT","EDUADULT","UPPSRY","PC_25_64","A","2017",23.913849,
"PRT","EDUADULT","UPPSRY","PC_25_64","A","2018",24.825838,
"PRT","EDUADULT","UPPSRY","PC_25_64","A","2019",25.891859,
"PRT","EDUADULT","UPPSRY","PC_25_64","A","2020",27.232395,
"PRT","EDUADULT","UPPSRY","PC_25_64","A","2021",28.366695,
"SVK","EDUADULT","UPPSRY","PC_25_64","A","2017",68.205521,
"SVK","EDUADULT","UPPSRY","PC_25_64","A","2018",66.995461,
"SVK","EDUADULT","UPPSRY","PC_25_64","A","2019",65.424515,
"SVK","EDUADULT","UPPSRY","PC_25_64","A","2020",65.680344,
"SVK","EDUADULT","UPPSRY","PC_25_64","A","2021",65.254929,
"ESP","EDUADULT","UPPSRY","PC_25_64","A","2017",22.723196,
"ESP","EDUADULT","UPPSRY","PC_25_64","A","2018",22.863016,
"ESP","EDUADULT","UPPSRY","PC_25_64","A","2019",22.717112,
"ESP","EDUADULT","UPPSRY","PC_25_64","A","2020",23.178282,
"ESP","EDUADULT","UPPSRY","PC_25_64","A","2021",23.213802,
"SWE","EDUADULT","UPPSRY","PC_25_64","A","2017",41.059723,
"SWE","EDUADULT","UPPSRY","PC_25_64","A","2018",40.039955,
"SWE","EDUADULT","UPPSRY","PC_25_64","A","2019",39.662586,
"SWE","EDUADULT","UPPSRY","PC_25_64","A","2020",39.291656,
"SWE","EDUADULT","UPPSRY","PC_25_64","A","2021",38.209526,
"CHE","EDUADULT","UPPSRY","PC_25_64","A","2017",45.213757,
"CHE","EDUADULT","UPPSRY","PC_25_64","A","2018",44.65678,
"CHE","EDUADULT","UPPSRY","PC_25_64","A","2019",44.594387,
"CHE","EDUADULT","UPPSRY","PC_25_64","A","2020",44.002632,
"CHE","EDUADULT","UPPSRY","PC_25_64","A","2021",42.422638,
"TUR","EDUADULT","UPPSRY","PC_25_64","A","2017",19.278526,
"TUR","EDUADULT","UPPSRY","PC_25_64","A","2018",19.456722,
"TUR","EDUADULT","UPPSRY","PC_25_64","A","2019",19.74897,
"TUR","EDUADULT","UPPSRY","PC_25_64","A","2021",20.444857,
"GBR","EDUADULT","UPPSRY","PC_25_64","A","2017",35.424564,
"GBR","EDUADULT","UPPSRY","PC_25_64","A","2018",33.510891,
"GBR","EDUADULT","UPPSRY","PC_25_64","A","2019",32.871109,
"GBR","EDUADULT","UPPSRY","PC_25_64","A","2020",32.259743,
"GBR","EDUADULT","UPPSRY","PC_25_64","A","2021",31.559423,
"USA","EDUADULT","UPPSRY","PC_25_64","A","2017",44.288704,
"USA","EDUADULT","UPPSRY","PC_25_64","A","2018",43.392693,
"USA","EDUADULT","UPPSRY","PC_25_64","A","2019",42.469944,
"USA","EDUADULT","UPPSRY","PC_25_64","A","2020",41.667641,
"USA","EDUADULT","UPPSRY","PC_25_64","A","2021",41.389202,
"BRA","EDUADULT","UPPSRY","PC_25_64","A","2017",34.811878,
"BRA","EDUADULT","UPPSRY","PC_25_64","A","2018",35.321396,
"BRA","EDUADULT","UPPSRY","PC_25_64","A","2019",36.135487,
"BRA","EDUADULT","UPPSRY","PC_25_64","A","2020",37.869579,
"BRA","EDUADULT","UPPSRY","PC_25_64","A","2021",37.742687,
"CHL","EDUADULT","UPPSRY","PC_25_64","A","2017",42.279499,
"CHL","EDUADULT","UPPSRY","PC_25_64","A","2020",40.534103,
"CHN","EDUADULT","UPPSRY","PC_25_64","A","2020",18.090559,
"COL","EDUADULT","UPPSRY","PC_25_64","A","2017",31.28689,
"COL","EDUADULT","UPPSRY","PC_25_64","A","2018",31.794924,
"COL","EDUADULT","UPPSRY","PC_25_64","A","2019",32.890892,
"COL","EDUADULT","UPPSRY","PC_25_64","A","2020",34.184483,
"COL","EDUADULT","UPPSRY","PC_25_64","A","2021",35.002415,
"EST","EDUADULT","UPPSRY","PC_25_64","A","2017",49.018936,
"EST","EDUADULT","UPPSRY","PC_25_64","A","2018",48.058849,
"EST","EDUADULT","UPPSRY","PC_25_64","A","2019",48.688206,
"EST","EDUADULT","UPPSRY","PC_25_64","A","2020",48.444328,
"EST","EDUADULT","UPPSRY","PC_25_64","A","2021",48.297703,
"IDN","EDUADULT","UPPSRY","PC_25_64","A","2017",26.039787,
"IDN","EDUADULT","UPPSRY","PC_25_64","A","2018",26.848392,
"IDN","EDUADULT","UPPSRY","PC_25_64","A","2019",27.638472,
"IDN","EDUADULT","UPPSRY","PC_25_64","A","2020",28.550402,
"IDN","EDUADULT","UPPSRY","PC_25_64","A","2021",29.782272,
"ISR","EDUADULT","UPPSRY","PC_25_64","A","2017",36.458225,
"ISR","EDUADULT","UPPSRY","PC_25_64","A","2018",36.163872,
"ISR","EDUADULT","UPPSRY","PC_25_64","A","2019",36.83321,
"ISR","EDUADULT","UPPSRY","PC_25_64","A","2020",37.889904,
"ISR","EDUADULT","UPPSRY","PC_25_64","A","2021",38.255859,
"LVA","EDUADULT","UPPSRY","PC_25_64","A","2017",53.725826,
"LVA","EDUADULT","UPPSRY","PC_25_64","A","2018",53.692394,
"LVA","EDUADULT","UPPSRY","PC_25_64","A","2019",52.727459,
"LVA","EDUADULT","UPPSRY","PC_25_64","A","2020",51.638859,
"LVA","EDUADULT","UPPSRY","PC_25_64","A","2021",50.393284,
"RUS","EDUADULT","UPPSRY","PC_25_64","A","2017",38.542645,
"RUS","EDUADULT","UPPSRY","PC_25_64","A","2018",38.472183,
"SVN","EDUADULT","UPPSRY","PC_25_64","A","2017",53.379494,
"SVN","EDUADULT","UPPSRY","PC_25_64","A","2018",55.682087,
"SVN","EDUADULT","UPPSRY","PC_25_64","A","2019",55.513828,
"SVN","EDUADULT","UPPSRY","PC_25_64","A","2020",54.358028,
"SVN","EDUADULT","UPPSRY","PC_25_64","A","2021",51.01,
"ZAF","EDUADULT","UPPSRY","PC_25_64","A","2017",28.569286,
"ZAF","EDUADULT","UPPSRY","PC_25_64","A","2018",29.314827,
"ZAF","EDUADULT","UPPSRY","PC_25_64","A","2019",29.739803,
"ZAF","EDUADULT","UPPSRY","PC_25_64","A","2020",31.812206,
"OAVG","EDUADULT","UPPSRY","PC_25_64","A","2017",41.813909,
"OAVG","EDUADULT","UPPSRY","PC_25_64","A","2018",41.54567,
"OAVG","EDUADULT","UPPSRY","PC_25_64","A","2019",41.076902,
"OAVG","EDUADULT","UPPSRY","PC_25_64","A","2020",41.392721,
"OAVG","EDUADULT","UPPSRY","PC_25_64","A","2021",40.558218,
"ARG","EDUADULT","UPPSRY","PC_25_64","A","2017",40.064892,
"ARG","EDUADULT","UPPSRY","PC_25_64","A","2018",41.104233,
"ARG","EDUADULT","UPPSRY","PC_25_64","A","2019",41.416943,
"ARG","EDUADULT","UPPSRY","PC_25_64","A","2020",40.44099,
"ARG","EDUADULT","UPPSRY","PC_25_64","A","2021",41.776196,
"IND","EDUADULT","UPPSRY","PC_25_64","A","2018",8.4327021,
"IND","EDUADULT","UPPSRY","PC_25_64","A","2019",9.1102676,
"IND","EDUADULT","UPPSRY","PC_25_64","A","2020",9.4072857,
"LTU","EDUADULT","UPPSRY","PC_25_64","A","2017",52.554096,
"LTU","EDUADULT","UPPSRY","PC_25_64","A","2018",51.322941,
"LTU","EDUADULT","UPPSRY","PC_25_64","A","2019",50.11478,
"LTU","EDUADULT","UPPSRY","PC_25_64","A","2020",49.501938,
"LTU","EDUADULT","UPPSRY","PC_25_64","A","2021",47.923908,
"CRI","EDUADULT","UPPSRY","PC_25_64","A","2017",16.521597,
"CRI","EDUADULT","UPPSRY","PC_25_64","A","2018",16.628136,
"CRI","EDUADULT","UPPSRY","PC_25_64","A","2019",17.629028,
"CRI","EDUADULT","UPPSRY","PC_25_64","A","2020",17.5567,
"CRI","EDUADULT","UPPSRY","PC_25_64","A","2021",17.986324,
"G20","EDUADULT","UPPSRY","PC_25_64","A","2018",34.289461,
"G20","EDUADULT","UPPSRY","PC_25_64","A","2019",33.966363,
"G20","EDUADULT","UPPSRY","PC_25_64","A","2020",33.800804,
